catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v2-dataset-catalogue,HZA-J1526M2050-BHAE-2,HZS-J1526M2050-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J1526M2050-BHAE-3,HZS-J1526M2050-BHAE-3,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J2002M3013-BHAE-1,HZS-J2002M3013-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J2132P1217-BHAE-1,HZS-J2132P1217-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J2232P2930-BHAE-1,HZS-J2232P2930-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J2232P2930-BHAE-2,HZS-J2232P2930-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J2232P2930-BHAE-3,HZS-J2232P2930-BHAE-3,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-13872,HZS-RUBIES-EGS-13872,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-17146,HZS-RUBIES-EGS-17146,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-28812,HZS-RUBIES-EGS-28812,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-29489,HZS-RUBIES-EGS-29489,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-37124,HZS-RUBIES-EGS-37124,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-42046,HZS-RUBIES-EGS-42046,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-42232,HZS-RUBIES-EGS-42232,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-45599,HZS-RUBIES-EGS-45599,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-46985,HZS-RUBIES-EGS-46985,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-49140,HZS-RUBIES-EGS-49140,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-60935,HZS-RUBIES-EGS-60935,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-6411,HZS-RUBIES-EGS-6411,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-EGS-926125,HZS-RUBIES-EGS-926125,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-119957,HZS-RUBIES-UDS-119957,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-139709,HZS-RUBIES-UDS-139709,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-143683,HZS-RUBIES-UDS-143683,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-155916,HZS-RUBIES-UDS-155916,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-172350,HZS-RUBIES-UDS-172350,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-174752,HZS-RUBIES-UDS-174752,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-182791,HZS-RUBIES-UDS-182791,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-19484,HZS-RUBIES-UDS-19484,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-19521,HZS-RUBIES-UDS-19521,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-29813,HZS-RUBIES-UDS-29813,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-30969,HZS-RUBIES-UDS-30969,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-31747,HZS-RUBIES-UDS-31747,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-35974,HZS-RUBIES-UDS-35974,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-47509,HZS-RUBIES-UDS-47509,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-48507,HZS-RUBIES-UDS-48507,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-63139,HZS-RUBIES-UDS-63139,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-807469,HZS-RUBIES-UDS-807469,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-RUBIES-UDS-970351,HZS-RUBIES-UDS-970351,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-THRILS-101567,HZS-THRILS-101567,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-THRILS-24975,HZS-THRILS-24975,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-THRILS-25501,HZS-THRILS-25501,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-THRILS-40467,HZS-THRILS-40467,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-THRILS-44774,HZS-THRILS-44774,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-THRILS-49400,HZS-THRILS-49400,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
